Grant Name,Grant Address
LunCo - collaborative systems engineering,0x020673A52560B50a70544D7F841fbc73626648f4
KaliBerger,0x4744cda32bE7b3e75b9334001da9ED21789d4c0d
SymVal,0x97d25ce39d27fBaFc60C3Bf50f2675C0EED71b5C
Commons Stack,0x8110d1D04ac316fdCACe8f24fD60C86b810AB15A
EIP-7265 Alliance - securing the future of ethereum,0x61319Eb36d29781586988fC8dD0A78dBfE201cef
TurtleShell,0x99d5Ce23335BffC8289F67Eb2723270776f2785e
EVMcrispr,0x0035cC37599241D007D0AbA1Fb931C5FA757f7A1
Public Nouns Operations,0xda04c025F4d8Ac555Fdb3497B197D28FCEcf4d41
PlaceCred: Exploring SourceCred for Place-based Reputation,0x4B7C0Da1C299Ce824f55A0190Efb13663442FA2c
Breadchain Cooperative,0x648DA25c49b16476515392E01ed587d3bBeD0dB6
Index Wallets,0x4f8c531df3d97c6Cd437aC8DfE756975445D1161
Metagov,0xc38B9fBB57b0c33f85Cb0A03669a9D6127538369
Mechanism Institute,0x4cd6B4503d02973D78CFF59C9C56f5F378688274
cadEVM,0x5ce15dBcDF9a7c65eF7f31d11Ccd49DF4ECd860D
cadCAD: Computer Aided Design for Complex Systems,0x596C7b6b7BC5331Ecb682523e342A2340c074602
tokensight,0x24EB84F2C45eB0BDe32183662B417cbc8896E34f
Bonding Curve Research Group (BCRG),0x29567BdBcC92aCF37AC6B56B69180857bB69f7D1
TE Career Builder for Womxn in Web 3,0xa1F01E5cC9562ed061B0e3ddDd3e82Ef69A1CebD
Ecofrontiers: Crypto Natural Capital Aggregator,0x864f2c20F55d7b6E80e65332C372C855a67be451
Token Engineering Governance Education,0xC47878441a1b619aE3A995b35E8C5E1b9E8bc4aE